
2025/08/21 (08:17:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/21 (11:24:42) | ===> btop++ v.1.3.2
2025/08/21 (11:24:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/21 (11:24:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/21 (11:38:53) | ===> btop++ v.1.3.2
2025/08/21 (11:38:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/21 (11:38:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/22 (09:13:48) | ===> btop++ v.1.3.2
2025/08/22 (09:13:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/22 (09:13:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/22 (10:43:22) | ===> btop++ v.1.3.2
2025/08/22 (10:43:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/22 (10:43:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/22 (10:46:02) | ERROR: Stall in Runner thread, restarting!
2025/08/22 (10:46:34) | ERROR: Stall in Runner thread, restarting!
2025/08/22 (10:48:11) | ERROR: Stall in Runner thread, restarting!
2025/08/22 (10:48:38) | ERROR: Stall in Runner thread, restarting!
2025/08/22 (10:49:25) | ERROR: Stall in Runner thread, restarting!

2025/08/22 (13:35:57) | ===> btop++ v.1.3.2
2025/08/22 (13:35:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/22 (13:35:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/25 (08:14:01) | ===> btop++ v.1.3.2
2025/08/25 (08:14:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/25 (08:14:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/26 (08:14:06) | ===> btop++ v.1.3.2
2025/08/26 (08:14:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (08:14:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (08:59:21) | WARNING: Failed to join _runner thread on exit!

2025/08/26 (11:16:24) | ===> btop++ v.1.3.2
2025/08/26 (11:16:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (11:16:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/26 (12:30:42) | ===> btop++ v.1.3.2
2025/08/26 (12:30:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (12:30:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/28 (21:32:29) | ===> btop++ v.1.3.2
2025/08/28 (21:32:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/28 (21:32:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/28 (21:33:05) | WARNING: Failed to join _runner thread on exit!

2025/08/28 (22:07:51) | ===> btop++ v.1.3.2
2025/08/28 (22:07:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
